"","chr","hg38.start","hg38.end","hg19.coord","score","strand","hg38.coord","hg38.id","DS.gok","DS.liu","DS.sy5y","DS.esc","DS.org","nDS","DB.atlas","DB.pedia","DB.base","DB.fun","nDB", "reason.excluded"
"635","chr12",19269770,19287556,"chr12_19422704_19440490_-",0,"-","chr12_19269770_19287556_-","chr12_19269770_19287556_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"636","chr12",19269770,19322667,"chr12_19422704_19475601_-",0,"-","chr12_19269770_19322667_-","chr12_19269770_19322667_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"637","chr12",19283280,19283745,"chr12_19436214_19436679_-",0,"-","chr12_19283280_19283745_-","chr12_19283280_19283745_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"638","chr12",19358228,19366109,"chr12_19511162_19519043_-",0,"-","chr12_19358228_19366109_-","chr12_19358228_19366109_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"639","chr12",19923198,19944544,"chr12_20076132_20097478_+",0,"+","chr12_19923198_19944544_+","chr12_19923198_19944544_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: "
"640","chr12",19923198,19974727,"chr12_20076132_20127661_+",0,"+","chr12_19923198_19974727_+","chr12_19923198_19974727_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"641","chr12",19923198,20011451,"chr12_20076132_20164385_+",0,"+","chr12_19923198_20011451_+","chr12_19923198_20011451_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"642","chr12",20081164,20127653,"chr12_20234098_20280587_+",0,"+","chr12_20081164_20127653_+","chr12_20081164_20127653_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"643","chr12",20098752,20127653,"chr12_20251686_20280587_+",0,"+","chr12_20098752_20127653_+","chr12_20098752_20127653_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"644","chr12",20098752,20160490,"chr12_20251686_20313424_+",0,"+","chr12_20098752_20160490_+","chr12_20098752_20160490_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"645","chr12",20616230,20635056,"chr12_20769164_20787990_-",0,"-","chr12_20616230_20635056_-","chr12_20616230_20635056_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","TRUE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"646","chr12",20621296,20654205,"chr12_20774230_20807139_-",0,"-","chr12_20621296_20654205_-","chr12_20621296_20654205_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"647","chr12",21818150,21852505,"chr12_21971084_22005439_+",0,"+","chr12_21818150_21852505_+","chr12_21818150_21852505_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-729I10.2"
"648","chr12",22478313,22484888,"chr12_22631247_22637822_+",0,"+","chr12_22478313_22484888_+","chr12_22478313_22484888_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"649","chr12",22659014,22673660,"chr12_22811948_22826594_-",0,"-","chr12_22659014_22673660_-","chr12_22659014_22673660_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"650","chr12",22969363,22972468,"chr12_23122297_23125402_+",0,"+","chr12_22969363_22972468_+","chr12_22969363_22972468_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: "
"651","chr12",23046108,23057897,"chr12_23199042_23210831_+",0,"+","chr12_23046108_23057897_+","chr12_23046108_23057897_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","TRUE","FALSE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"652","chr12",24213343,24368639,"chr12_24366277_24521573_-",0,"-","chr12_24213343_24368639_-","chr12_24213343_24368639_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","TRUE","FALSE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"653","chr12",25017134,25026866,"chr12_25170068_25179800_+",0,"+","chr12_25017134_25026866_+","chr12_25017134_25026866_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: "
"654","chr12",26064498,26067713,"chr12_26217431_26220646_-",0,"-","chr12_26064498_26067713_-","chr12_26064498_26067713_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"655","chr12",26990450,26999676,"chr12_27143383_27152609_+",0,"+","chr12_26990450_26999676_+","chr12_26990450_26999676_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"656","chr12",26990450,27003390,"chr12_27143383_27156323_+",0,"+","chr12_26990450_27003390_+","chr12_26990450_27003390_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"657","chr12",27046158,27185443,"chr12_27199091_27338376_+",0,"+","chr12_27046158_27185443_+","chr12_27046158_27185443_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"658","chr12",27380247,27426317,"chr12_27533180_27579250_+",0,"+","chr12_27380247_27426317_+","chr12_27380247_27426317_","TRUE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"659","chr12",27426132,27426317,"chr12_27579065_27579250_-",0,"-","chr12_27426132_27426317_-","chr12_27426132_27426317_","TRUE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","FALSE","TRUE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-165P7.1"
"660","chr12",27714780,27762965,"chr12_27867713_27915898_+",0,"+","chr12_27714780_27762965_+","chr12_27714780_27762965_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"661","chr12",28255581,28307749,"chr12_28408514_28460682_-",0,"-","chr12_28255581_28307749_-","chr12_28255581_28307749_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"662","chr12",28391304,28452654,"chr12_28544237_28605587_-",0,"-","chr12_28391304_28452654_-","chr12_28391304_28452654_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"663","chr12",29633147,29660885,"chr12_29786080_29813818_+",0,"+","chr12_29633147_29660885_+","chr12_29633147_29660885_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"664","chr12",29755709,29758777,"chr12_29908642_29911710_+",0,"+","chr12_29755709_29758777_+","chr12_29755709_29758777_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"665","chr12",30713785,30726088,"chr12_30866719_30879022_+",0,"+","chr12_30713785_30726088_+","chr12_30713785_30726088_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"666","chr12",31409263,31426424,"chr12_31562197_31579358_+",0,"+","chr12_31409263_31426424_+","chr12_31409263_31426424_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"667","chr12",32327461,32328555,"chr12_32480395_32481489_-",0,"-","chr12_32327461_32328555_-","chr12_32327461_32328555_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"668","chr12",32564137,32611283,"chr12_32717071_32764217_-",0,"-","chr12_32564137_32611283_-","chr12_32564137_32611283_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"669","chr12",32576266,32611283,"chr12_32729200_32764217_-",0,"-","chr12_32576266_32611283_-","chr12_32576266_32611283_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"670","chr12",32581960,32611283,"chr12_32734894_32764217_-",0,"-","chr12_32581960_32611283_-","chr12_32581960_32611283_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"671","chr12",32598497,32611283,"chr12_32751431_32764217_-",0,"-","chr12_32598497_32611283_-","chr12_32598497_32611283_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"672","chr12",32607957,32611283,"chr12_32760891_32764217_-",0,"-","chr12_32607957_32611283_-","chr12_32607957_32611283_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"673","chr12",32619698,32633689,"chr12_32772632_32786623_-",0,"-","chr12_32619698_32633689_-","chr12_32619698_32633689_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"674","chr12",34190193,34191432,"chr12_34343128_34344367_-",0,"-","chr12_34190193_34191432_-","chr12_34190193_34191432_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"675","chr12",39337096,39357437,"chr12_39730898_39751239_+",0,"+","chr12_39337096_39357437_+","chr12_39337096_39357437_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"676","chr12",39356832,39366383,"chr12_39750634_39760185_+",0,"+","chr12_39356832_39366383_+","chr12_39356832_39366383_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"677","chr12",44703726,44816136,"chr12_45097509_45209919_+",0,"+","chr12_44703726_44816136_+","chr12_44703726_44816136_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"678","chr12",45476675,45482071,"chr12_45870458_45875854_-",0,"-","chr12_45476675_45482071_-","chr12_45476675_45482071_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"679","chr12",45481311,45482071,"chr12_45875094_45875854_-",0,"-","chr12_45481311_45482071_-","chr12_45481311_45482071_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"680","chr12",45481311,45484273,"chr12_45875094_45878056_+",0,"+","chr12_45481311_45484273_+","chr12_45481311_45484273_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"681","chr12",45481311,45519153,"chr12_45875094_45912936_-",0,"-","chr12_45481311_45519153_-","chr12_45481311_45519153_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"682","chr12",45926142,45928859,"chr12_46319925_46322642_+",0,"+","chr12_45926142_45928859_+","chr12_45926142_45928859_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"683","chr12",48455581,48459549,"chr12_48849364_48853332_+",0,"+","chr12_48455581_48459549_+","chr12_48455581_48459549_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"684","chr12",48455581,48474329,"chr12_48849364_48868112_+",0,"+","chr12_48455581_48474329_+","chr12_48455581_48474329_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"685","chr12",48455581,48474353,"chr12_48849364_48868136_+",0,"+","chr12_48455581_48474353_+","chr12_48455581_48474353_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"686","chr12",48935297,48935526,"chr12_49329080_49329309_-",0,"-","chr12_48935297_48935526_-","chr12_48935297_48935526_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"687","chr12",50427762,50454417,"chr12_50821545_50848200_-",0,"-","chr12_50427762_50454417_-","chr12_50427762_50454417_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"688","chr12",50430495,50454417,"chr12_50824278_50848200_-",0,"-","chr12_50430495_50454417_-","chr12_50430495_50454417_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"689","chr12",54236565,54236905,"chr12_54630349_54630689_+",0,"+","chr12_54236565_54236905_+","chr12_54236565_54236905_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"690","chr12",56712515,56713126,"chr12_57106299_57106910_+",0,"+","chr12_56712515_56713126_+","chr12_56712515_56713126_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"691","chr12",56713133,56714426,"chr12_57106917_57108210_+",0,"+","chr12_56713133_56714426_+","chr12_56713133_56714426_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"692","chr12",61480928,61481616,"chr12_61874709_61875397_-",0,"-","chr12_61480928_61481616_-","chr12_61480928_61481616_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"693","chr12",61669031,61699895,"chr12_62062812_62093676_-",0,"-","chr12_61669031_61699895_-","chr12_61669031_61699895_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"694","chr12",61669031,61699912,"chr12_62062812_62093693_-",0,"-","chr12_61669031_61699912_-","chr12_61669031_61699912_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"695","chr12",62470701,62501698,"chr12_62864481_62895478_-",0,"-","chr12_62470701_62501698_-","chr12_62470701_62501698_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-863H1.1"
"696","chr12",64455840,64474390,"chr12_64849620_64868170_-",0,"-","chr12_64455840_64474390_-","chr12_64455840_64474390_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"697","chr12",66203711,66228370,"chr12_66597491_66622150_-",0,"-","chr12_66203711_66228370_-","chr12_66203711_66228370_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"698","chr12",66515619,66541950,"chr12_66909399_66935730_+",0,"+","chr12_66515619_66541950_+","chr12_66515619_66541950_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"699","chr12",67920524,67932389,"chr12_68314304_68326169_+",0,"+","chr12_67920524_67932389_+","chr12_67920524_67932389_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: GS1-410F4.4"
"700","chr12",68715627,68742443,"chr12_69109407_69136223_-",0,"-","chr12_68715627_68742443_-","chr12_68715627_68742443_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"701","chr12",69251129,69262562,"chr12_69644909_69656342_-",0,"-","chr12_69251129_69262562_-","chr12_69251129_69262562_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"702","chr12",69258590,69262562,"chr12_69652370_69656342_-",0,"-","chr12_69258590_69262562_-","chr12_69258590_69262562_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"703","chr12",69459517,69462525,"chr12_69853297_69856305_+",0,"+","chr12_69459517_69462525_+","chr12_69459517_69462525_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"704","chr12",69589485,69592159,"chr12_69983265_69985939_-",0,"-","chr12_69589485_69592159_-","chr12_69589485_69592159_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"705","chr12",69800209,69801721,"chr12_70193989_70195501_-",0,"-","chr12_69800209_69801721_-","chr12_69800209_69801721_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"706","chr12",69994733,69998095,"chr12_70388513_70391875_-",0,"-","chr12_69994733_69998095_-","chr12_69994733_69998095_","TRUE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-611E13.2"
"707","chr12",71657526,71660427,"chr12_72051306_72054207_+",0,"+","chr12_71657526_71660427_+","chr12_71657526_71660427_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"708","chr12",75304757,75326527,"chr12_75698537_75720307_+",0,"+","chr12_75304757_75326527_+","chr12_75304757_75326527_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-560G2.2"
"709","chr12",78006419,78021862,"chr12_78400199_78415642_-",0,"-","chr12_78006419_78021862_-","chr12_78006419_78021862_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"710","chr12",78159203,78181045,"chr12_78552983_78574825_-",0,"-","chr12_78159203_78181045_-","chr12_78159203_78181045_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"711","chr12",79217503,79299551,"chr12_79611283_79693331_-",0,"-","chr12_79217503_79299551_-","chr12_79217503_79299551_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"712","chr12",80053957,80061182,"chr12_80447737_80454962_+",0,"+","chr12_80053957_80061182_+","chr12_80053957_80061182_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"713","chr12",80189344,80222245,"chr12_80583124_80616025_+",0,"+","chr12_80189344_80222245_+","chr12_80189344_80222245_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"714","chr12",81281257,81374768,"chr12_81675036_81768547_+",0,"+","chr12_81281257_81374768_+","chr12_81281257_81374768_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-121G22.3"
"715","chr12",82386803,82403130,"chr12_82780582_82796909_-",0,"-","chr12_82386803_82403130_-","chr12_82386803_82403130_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"716","chr12",82386803,82434724,"chr12_82780582_82828503_-",0,"-","chr12_82386803_82434724_-","chr12_82386803_82434724_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"717","chr12",82965024,82986046,"chr12_83358803_83379825_-",0,"-","chr12_82965024_82986046_-","chr12_82965024_82986046_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"718","chr12",89459638,89472275,"chr12_89853415_89866052_+",0,"+","chr12_89459638_89472275_+","chr12_89459638_89472275_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"719","chr12",89800961,89817100,"chr12_90194738_90210877_+",0,"+","chr12_89800961_89817100_+","chr12_89800961_89817100_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"720","chr12",90675293,90679945,"chr12_91069070_91073722_+",0,"+","chr12_90675293_90679945_+","chr12_90675293_90679945_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"721","chr12",92798892,92811434,"chr12_93192668_93205210_+",0,"+","chr12_92798892_92811434_+","chr12_92798892_92811434_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"722","chr12",92832512,92853025,"chr12_93226288_93246801_+",0,"+","chr12_92832512_92853025_+","chr12_92832512_92853025_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"723","chr12",94400850,94412591,"chr12_94794626_94806367_+",0,"+","chr12_94400850_94412591_+","chr12_94400850_94412591_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"724","chr12",95208843,95211267,"chr12_95602619_95605043_+",0,"+","chr12_95208843_95211267_+","chr12_95208843_95211267_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"725","chr12",95287664,95296258,"chr12_95681440_95690034_-",0,"-","chr12_95287664_95296258_-","chr12_95287664_95296258_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"726","chr12",96540837,96598767,"chr12_96934615_96992545_+",0,"+","chr12_96540837_96598767_+","chr12_96540837_96598767_","FALSE","FALSE","FALSE","TRUE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: AX747187"
"727","chr12",96540837,96630204,"chr12_96934615_97023982_+",0,"+","chr12_96540837_96630204_+","chr12_96540837_96630204_","FALSE","FALSE","FALSE","TRUE","FALSE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: AX747187"
"728","chr12",96547902,96598767,"chr12_96941680_96992545_+",0,"+","chr12_96547902_96598767_+","chr12_96547902_96598767_","FALSE","FALSE","FALSE","TRUE","FALSE",1,"TRUE","TRUE","FALSE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: AX747187"
"729","chr12",96784717,96829088,"chr12_97178495_97222866_-",0,"-","chr12_96784717_96829088_-","chr12_96784717_96829088_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"730","chr12",97185076,97186784,"chr12_97578854_97580562_+",0,"+","chr12_97185076_97186784_+","chr12_97185076_97186784_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"731","chr12",98292410,98293437,"chr12_98686188_98687215_-",0,"-","chr12_98292410_98293437_-","chr12_98292410_98293437_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"732","chr12",98648319,98649684,"chr12_99042097_99043462_-",0,"-","chr12_98648319_98649684_-","chr12_98648319_98649684_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"733","chr12",98751355,98832136,"chr12_99145133_99225914_+",0,"+","chr12_98751355_98832136_+","chr12_98751355_98832136_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-90E9.1"
